Name,Price
Dell Latitude E6230 i5 3320M | RAM 4 GB | HDD 250G | 12.5” HD | Card on,
HP EliteBook 8470w Core i5-3320M |4GB RAM | 250GB HDD | 14.0″ HD | VGA AMD FIREPRO M2000,
Laptop Cũ Hp Elitebook 8560p i7 2620M | RAM 4G | HDD 320G | 15.6” HD | VGA RỜI AMD 6470M,
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
HP 8560P I5 2520M | RAM4G | HDD 250G | 15.6″ | VGA Intel HD 3000,
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Dell Latitude E6230 i5 3320M | RAM 4 GB | HDD 250G | 12.5” HD | Card on,
Hp Probook 4530s i5 2410M | RAM 4G | SSD 120GB | 15.6” HD | Card on,0đ
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
Hp Elitebook 2560p i5 2520M | RAM 4G | HDD 250G | 12.5” FHD | On | VGA Khong Co,
Dell Latitude E6220 | i5-2520M | Ram 4GB | 12.5 ich HD | Card On,
Hp Elitebook 8440p i5 520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Hp Elitebook 8460w i5 2520M | RAM 4G | HDD 250G | 14.0 | VGA AMD FIREPRO 3900M,
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
HP Elitebook Workstation 8560W CORE I5-2540M | 4 GB | 320GB| Màn HD  |card 1000M,
Lenovo ThinkPad T431s i7*3687/8G/SSD240G/ 14.0″ HD  1600*900.,
Hp Elitebook 8460p i5 2520M | RAM 4 GB | HDD 250G | 14.0” HD | Card on,
Laptop Cũ Hp Elitebook 8570p i5 3320M | RAM 4G | HDD 250G | 15.6” HD | VGA RỜI AMD 7570M,0đ
Hp Elitebook 8560p i5 2520M | RAM 4G | HDD 250GB | 15.6” HD | VGA RỜI AMD 6470M,
Hp Elitebook 2570p i5 3320M | RAM 4G | HDD 250G | 12.5” HD | Card on,0đ
Hp Elitebook 8470W Workstation i7 3520M | RAM 4GB | HDD 320GB | 14 Inches HD | Card rời AMD Firepro M2000,
