Name,Price,Cpu,Ram,Storage,Display,Graphics
Laptop Cũ Dell Inspiron 5502 MFK29 - Intel Core i5 - 1135G7 | 15.6 Inch Full HD,13.990.000 đ,i5 - 1135G7,12GB DDR4,SSD 256GB NMVe,15.6'' Full HD,Intel Iris Xe Graphics
Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i7 | 14 inch Full HD,14.990.000 đ,i5 - 8560u,8GB LPDDR4,SSD 256GB,14 inch Full HD,UHD 620
Laptop Cũ Dell Precision 7760 - Intel Core i7 - 11850H | RTX  A3000M | 17.3 Inch Full HD,Liên Hệ,i7 - 11850H,32GB DDR4,SSD 512GB NVMe,17.3 Full HD,RTX A3000
Laptop Cũ HP Elitebook X360 1040 G6  - Intel Core i5 | 14 inch Full HD,Liên Hệ,i5 - 8250u,8GB LPDDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ HP 17-by4062cl 4R7Z3UA - Intel Core i5 - 1135G7 | 17.3 Inch HD+,Liên Hệ,i5 - 1135G7,8GB DDR4,SSD 256GB NVMe,"17.3"" HD+",Intel® Iris Xe Graphics
Laptop Cũ Dell Inspiron 3525-4MP3R - AMD Ryzen 7 | MX550,15.990.000 đ,R7 - 5825U,16GB DDR4,SSD 512GB,"15.6"" Full HD",Nvidia MX550
Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i7,Liên Hệ,i7 - 8750H,8GB DDR4,SSD 256GB,15.6'' Full HD,Nvidia GTX 1050
Laptop Cũ Asus X407UA - Intel Core i5 - 8250U,Liên Hệ,i5 - 8250U,8GB DDR4,SSD128GB + HDD 500GB,14''  HD,Intel UHD 620
Laptop Cũ HP Elitebook X360 1030 G2 2in1 - Intel Core i5,Liên Hệ,i5 - 7300u,8GB LPDDR4,SSD 256GB,"13.3"" Full HD",Intel HD Graphics 620
Laptop Cũ Dell Latitude 7320 - Intel Core i5,Liên Hệ,i5-1145G7,16GB DDR4,SSD 256GB,"13.3"" Full HD",Iris Xe Graphics
Laptop Cũ HP Probook 450 G6 - Intel Core i5-8265U |15.6 inch Full HD,Liên Hệ,i5 8250U,8GB DDR4,SSD 256GB,"15.6"" Full HD",Intel UHD Graphics
Laptop Cũ Dell Latitude 5401 - Intel Core i7 - 9850H | MX150 | 14 inch Full HD,Liên Hệ,i7 - 9850H,8GB DDR4,SSD 256GB,14 Inch Full HD,NVIDIA GeForce MX150
Laptop Cũ Dell XPS 13 7390  2 in 1 - Intel Core i7-1065G7 | 13.3 Full HD+,Liên Hệ,i7-1065G7,16GB LPDDR4,SSD 512GB,13.3'' Full HD+,Intel Iris Plus Graphics
Laptop Cũ Dell Inspiron 5459 - Intel Core i7,Liên Hệ,i7 -6500U,8GB DDR4,SSD 120GB,"14"" HD",AMD Radeon R5 M335
Laptop Cũ Dell Vostro 15 3568 - Intel Core i7,Liên Hệ,i7 -7500u,8GB DDR4,SSD 256GB,"15.6"" Full HD",AMD Radeon R5 M420
Laptop Cũ Dell Latitude 5410 - Intel Core i7-10610U | 14 inch Full HD,Liên Hệ,i7 - 10610U,8GB DDR4,SSD 256GB,"14"" Full HD",Intel UHD 620
Laptop Cũ HP Zbook 14U G5 - Intel Core i5 | 14 inch Full HD,Liên Hệ,i5 - 7200u,8GB DDR4,SSD 256GB,"14"" Full HD",Intel HD 620
Laptop Cũ Asus Zenbook Q408UG - AMD Ryzen 5-5500U | 14 inch Full HD,11.990.000 đ,R5 - 5500U,8GB DDR4,SSD 256GB,"14"" Full HD",Radeon Graphics
Laptop Cũ Dell Latitude 3460 - Intel Core i3 | 14 inch Full HD,Liên Hệ,i3 5005u,4GB | 8GB DDR3L,SSD 128GB,"14"" Full HD",Intel HD 5500
Laptop Cũ HP Pavilion 13-an1052tu - Intel Core i5 1035G1 | 13.3 inch Full HD,Liên Hệ,i5-1035G1,8GB DDR4,SSD 256GB,"13.3"" Full HD",Intel UHD Graphics
Laptop Cũ HP Probook 430 G1 - Intel Core i3,Liên Hệ,i3 - 4005u,4GB LPDDR3,SSD 128GB,"13.3"" HD",Intel HD 4400
Laptop Cũ HP Pavilion X360 2 in 1 - Intel Core i5,Liên Hệ,i5 - 1035G1,8GB DDR4,SSD 256GB,13.3'' Full HD,Intel UHD Graphics
Macbook Pro 16 - M1 Max 10 Core CPU 32 GPU | RAM 32GB  | SSD 1TB | 16 inch 4K 2021 Cũ,Liên Hệ,Chip M1 10 Core,32GB,SSD 1TB,16 Inch Retina 4K,Card 32-core GPU
